min_support,min_confidence,class_weights,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,f_score_mean,f_score_std,auc_mean,auc_std,n_rules_mean,n_rules_std
0.0005,0.8,prior,0.8493090932763646,0.0022598121430117057,0.6512440236966323,0.008882803514300954,0.7954704950183062,0.018060006600311106,0.6828830230884663,0.00945061667921914,0.936404852213621,0.0038275376019327677,1077.3333333333333,57.274194305405395
0.0005,0.8,uniform,0.8118270645998716,0.025427234689607156,0.7191682056246883,0.01039855133768681,0.7129602634773744,0.025916861649740736,0.6907553683554682,0.019098672207544968,0.9368012055235133,0.007095397577489559,1077.3333333333333,57.274194305405395
0.0005,0.9,inverse,0.6885525593944845,0.024575007901009735,0.6623141017394045,0.01210793385170843,0.6580061363614509,0.029348591739937216,0.5982299042116835,0.01072274857233343,0.8889827439116996,0.007989550308187973,850.0,52.716221412388805
0.0005,0.9,prior,0.8356003763965195,0.002488174984677467,0.6502946667056874,0.004820657092930259,0.8105681700622975,0.015448954727904939,0.6963749737034193,0.006856263853344496,0.925858844690166,0.004783486084794505,850.0,52.716221412388805
0.0005,0.9,uniform,0.8190003512373547,0.00782283021272061,0.6825890335400157,0.012804538817164575,0.7650530946745141,0.02486677474587551,0.6955234712402435,0.0065634463508557755,0.9197093132027488,0.006840910648498085,850.0,52.716221412388805
0.001,0.1,inverse,0.10206627898430747,0.0062466583302911724,0.41533795542564195,0.015951276695623327,0.5088047641854127,0.05244901534119362,0.2743426521832952,0.011853118240326851,0.7737938367900413,0.009057757757914243,1652.3333333333333,72.43157690768116
0.001,0.1,prior,0.6950837574469338,0.003111297100940472,0.278418157522815,0.00898382025723997,0.5677177719767713,0.005976325365762875,0.2970564241033446,0.009250967920484484,0.8733180359076101,0.0013604745532546675,1652.3333333333333,72.43157690768116
0.001,0.1,uniform,0.7851565607476841,0.006034129017183245,0.6912234169489597,0.012141767809578772,0.749747703032804,0.010392411184011373,0.6697716565332666,0.005272027647531112,0.9408852947311764,0.005116735129974736,1652.3333333333333,72.43157690768116
0.001,0.2,inverse,0.10206627898430747,0.0062466583302911724,0.41533795542564195,0.015951276695623327,0.5088047641854127,0.05244901534119362,0.2743426521832952,0.011853118240326851,0.7737938367900413,0.009057757757914243,1652.3333333333333,72.43157690768116
0.001,0.2,prior,0.6950837574469338,0.003111297100940472,0.278418157522815,0.00898382025723997,0.5677177719767713,0.005976325365762875,0.2970564241033446,0.009250967920484484,0.8733180359076101,0.0013604745532546675,1652.3333333333333,72.43157690768116
0.001,0.2,uniform,0.7851565607476841,0.006034129017183245,0.6912234169489597,0.012141767809578772,0.749747703032804,0.010392411184011373,0.6697716565332666,0.005272027647531112,0.9408852947311764,0.005116735129974736,1652.3333333333333,72.43157690768116
